src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event04_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_expect_displayonset
7,4,3,4,2,high,high,092-ch092,ch092t2aiaff_H.mp4,6,1605266638.15536,1605266638.15798,1605267107.50942,1605267107.51903,1.41120004653931,1605267108.92662,1605267108.93507,high,h042.png,0,1605267109.93744,NaN,NaN,1605267113.96186,1605267113.96903,1.00884461402893,ch092t2aiaff_H.mp4,ch092t2aiaff_H.mp4,1605267116.22491,1605267116.223,1605267121.49803,1605267121.47471,NaN,NaN,0,0,0,1605267109.94368
7,4,3,4,2,low,med,101-mg101,mg101t2aeunaff_M.mp4,3,1605266638.15536,1605266638.15798,1605267125.51621,1605267125.51853,3.203932762146,1605267128.73409,1605267128.73564,low,l021.png,0,1605267129.73944,NaN,NaN,1605267133.76933,1605267133.77107,0.603078126907349,mg101t2aeunaff_M.mp4,mg101t2aeunaff_M.mp4,1605267135.62661,1605267135.62459,1605267140.90535,1605267140.87997,NaN,NaN,0,0,0,1605267129.75114
7,4,3,4,2,high,med,080-bn080,bn080t1aeaff_M.mp4,4,1605266638.15536,1605266638.15798,1605267144.92353,1605267144.93549,1.51349997520447,1605267146.44077,1605267146.45519,high,h046.png,0,1605267147.45928,NaN,NaN,1605267151.49268,1605267151.4942,1.90272331237793,bn080t1aeaff_M.mp4,bn080t1aeaff_M.mp4,1605267154.64983,1605267154.64763,1605267159.92919,1605267159.90415,NaN,NaN,0,0,0,1605267147.47449
7,4,3,4,2,high,low,042-ll042,ll042t1aaunaff_L.mp4,2,1605266638.15536,1605266638.15798,1605267163.96404,1605267163.96583,1.40356135368347,1605267165.38124,1605267165.3861,high,h048.png,0,1605267166.39068,NaN,NaN,1605267170.41648,1605267170.4192,1.40419340133667,ll042t1aaunaff_L.mp4,ll042t1aaunaff_L.mp4,1605267173.07511,1605267173.07302,1605267178.3528,1605267178.3262,NaN,NaN,0,0,0,1605267166.39829
7,4,3,4,2,low,low,101-mg101,mg101t2afunaff_L.mp4,1,1605266638.15536,1605266638.15798,1605267182.37098,1605267182.3731,2.1039719581604,1605267184.48845,1605267184.49033,low,l034.png,0,1605267185.49385,NaN,NaN,1605267189.52368,1605267189.52557,0.503515958786011,mg101t2afunaff_L.mp4,mg101t2afunaff_L.mp4,1605267191.28144,1605267191.27932,1605267196.55966,1605267196.53379,NaN,NaN,0,0,0,1605267185.5055
7,4,3,4,2,high,low,080-bn080,bn080t1afunaff_L.mp4,2,1605266638.15536,1605266638.15798,1605267200.59452,1605267200.59619,3.00359487533569,1605267203.61232,1605267203.61959,high,h049.png,0,1605267204.62394,NaN,NaN,1605267208.64755,1605267208.65261,0.606592655181885,bn080t1afunaff_L.mp4,bn080t1afunaff_L.mp4,1605267210.50829,1605267210.50638,1605267215.78358,1605267215.75866,NaN,NaN,0,0,0,1605267204.62937
7,4,3,4,2,high,low,092-ch092,ch092t2aeaff_L.mp4,2,1605266638.15536,1605266638.15798,1605267219.80176,1605267219.80337,2.60306572914124,1605267222.41941,1605267222.42048,high,h051.png,0,1605267223.42411,NaN,NaN,1605267227.45464,1605267227.45583,0.802526235580444,ch092t2aeaff_L.mp4,ch092t2aeaff_L.mp4,1605267229.51156,1605267229.50945,1605267234.79074,1605267234.76449,NaN,NaN,0,0,0,1605267223.43646
7,4,3,4,2,low,low,047-jl047,jl047t1aaunaff_L.mp4,1,1605266638.15536,1605266638.15798,1605267238.80892,1605267238.81946,1.31222772598267,1605267240.12608,1605267240.13649,low,l011.png,0,1605267241.14092,NaN,NaN,1605267245.17799,1605267245.18635,0.610152006149292,jl047t1aaunaff_L.mp4,jl047t1aaunaff_L.mp4,1605267247.04146,1605267247.04014,1605267252.31401,1605267252.29121,NaN,NaN,0,0,0,1605267241.1598
7,4,3,4,2,low,high,042-ll042,ll042t1aiaff_H.mp4,5,1605266638.15536,1605266638.15798,1605267256.33219,1605267256.3362,1.10577201843262,1605267257.44928,1605267257.45267,low,l026.png,0,1605267258.45629,NaN,NaN,1605267262.48451,1605267262.48559,0.602331399917603,ll042t1aiaff_H.mp4,ll042t1aiaff_H.mp4,1605267264.34181,1605267264.33935,1605267269.62053,1605267269.59374,NaN,NaN,0,0,0,1605267258.46632
7,4,3,4,2,high,med,049-bm049,bm049t2aeaff_M.mp4,4,1605266638.15536,1605266638.15798,1605267273.63871,1605267273.65308,1.51639676094055,1605267275.17262,1605267275.175,high,h052.png,0,1605267276.17795,NaN,NaN,1605267280.20785,1605267280.20927,0.602782011032104,bm049t2aeaff_M.mp4,bm049t2aeaff_M.mp4,1605267282.0647,1605267282.06287,1605267287.34387,1605267287.3176,NaN,NaN,0,0,0,1605267276.18967
7,4,3,4,2,high,med,052-dr052,dr052t2aaaff_M.mp4,4,1605266638.15536,1605266638.15798,1605267291.37872,1605267291.38063,1.50331926345825,1605267292.89596,1605267292.90308,high,h056.png,0,1605267293.90662,NaN,NaN,1605267297.93119,1605267297.93624,0.606497287750244,dr052t2aaaff_M.mp4,dr052t2aaaff_M.mp4,1605267299.7917,1605267299.78962,1605267305.06721,1605267305.0431,NaN,NaN,0,0,0,1605267293.91301
