param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_onset,event03_rating_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_stimulus_biopac,event05_administer_response,event05_administer_reseponseonset,event05_response_biopac,event05_administer_RT,event06_actual_onset,event06_actual_responseonset,event06_actual_RT,event06_actual_biopac,param_end_instruct_onset,param_end_biopac,param_experiment_duration,param_runNum,param_cogStimNum,param_cogStimMatch,param_cogStimFilename
1,3,1,low,150,5,1603293015.82321,1603293444.10314,0,2.70073390007019,1603293446.8375,0,low,l023.png,1603293447.8879,0,NaN,NaN,1603293451.90607,0,0.000926971435546875,150,26_150.jpg,1603293451.93942,0,99,1603293458.44,0,NaN,1603293458.4752,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,26,same,26_150.jpg
1,3,1,low,100,3,1603293015.82321,1603293462.49338,0,2.40114331245422,1603293464.92763,0,low,l043.png,1603293465.97802,0,NaN,NaN,1603293469.9962,0,0.00093388557434082,100,14_100.jpg,1603293470.02954,0,99,1603293476.53094,0,NaN,1603293476.56533,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,14,same,14_100.jpg
1,3,1,high,100,4,1603293015.82321,1603293480.5835,0,1.50118923187256,1603293482.11741,0,high,h022.png,1603293483.1678,0,NaN,NaN,1603293487.18598,0,0.000937223434448242,100,44_100.jpg,1603293487.21933,0,99,1603293493.72039,0,NaN,1603293493.75511,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,44,same,44_100.jpg
1,3,1,high,50,2,1603293015.82321,1603293497.77329,0,1.90097212791443,1603293499.70735,0,high,h007.png,1603293500.75774,0,NaN,NaN,1603293504.77591,0,0.000841140747070312,50,19_50_R.jpg,1603293504.80926,0,99,1603293511.31019,0,NaN,1603293511.34505,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,19,different,19_50_R.jpg
1,3,1,high,150,6,1603293015.82321,1603293515.36322,0,1.5009708404541,1603293516.89713,0,high,h032.png,1603293517.94752,0,NaN,NaN,1603293521.9657,0,0.000975608825683594,150,47_150_R.jpg,1603293521.99905,0,99,1603293528.49998,0,NaN,1603293528.53483,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,47,different,47_150_R.jpg
1,3,1,high,150,6,1603293015.82321,1603293532.55301,0,2.50100517272949,1603293535.08729,0,high,h048.png,1603293536.13768,0,NaN,NaN,1603293540.15586,0,0.000881195068359375,150,19_150.jpg,1603293540.1892,0,99,1603293546.69108,0,NaN,1603293546.72499,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,19,same,19_150.jpg
1,3,1,high,50,2,1603293015.82321,1603293550.74317,0,2.10107421875,1603293552.8773,0,high,h012.png,1603293553.92769,0,NaN,NaN,1603293557.94587,0,0.00086212158203125,50,38_50.jpg,1603293557.97921,0,99,1603293564.48041,0,NaN,1603293564.515,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,38,same,38_50.jpg
1,3,1,low,100,3,1603293015.82321,1603293568.53318,0,1.50080370903015,1603293570.06708,0,low,l013.png,1603293571.11748,0,NaN,NaN,1603293575.13565,0,0.000931978225708008,100,43_100.jpg,1603293575.169,0,99,1603293581.67083,0,NaN,1603293581.70478,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,43,same,43_100.jpg
1,3,1,high,100,4,1603293015.82321,1603293585.72296,0,1.40101313591003,1603293587.15683,0,high,h031.png,1603293588.20723,0,NaN,NaN,1603293592.2254,0,0.000909566879272461,100,19_100_R.jpg,1603293592.25875,0,99,1603293598.76066,0,NaN,1603293598.79453,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,19,different,19_100_R.jpg
1,3,1,high,150,6,1603293015.82321,1603293602.81271,0,1.4010808467865,1603293604.24658,0,high,h003.png,1603293605.29697,0,NaN,NaN,1603293609.31515,0,0.000633716583251953,150,30_150_R.jpg,1603293609.34849,0,99,1603293615.8492,0,NaN,1603293615.88428,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,30,different,30_150_R.jpg
1,3,1,low,100,3,1603293015.82321,1603293619.90245,0,2.40093326568604,1603293622.3367,0,low,l048.png,1603293623.38709,0,NaN,NaN,1603293627.40527,0,0.000480413436889648,100,45_100_R.jpg,1603293627.43862,0,99,1603293633.93915,0,NaN,1603293633.9744,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,45,different,45_100_R.jpg
1,3,1,low,100,3,1603293015.82321,1603293637.99258,0,1.90099000930786,1603293639.92664,0,low,l010.png,1603293640.97703,0,NaN,NaN,1603293644.99521,0,0.00088047981262207,100,26_100.jpg,1603293645.02855,0,99,1603293651.52937,0,NaN,1603293651.56434,NaN,NaN,0,1603293655.59918,0,639.775975465775,2,26,same,26_100.jpg
